date,entity,Id,hours,precio_bolsa,datetime
2019-01-14,Sistema,Sistema,13,300.81968,2019-01-14 13:00:00
2019-01-14,Sistema,Sistema,14,300.81968,2019-01-14 14:00:00
2019-01-14,Sistema,Sistema,15,300.81968,2019-01-14 15:00:00
2019-01-14,Sistema,Sistema,16,300.81968,2019-01-14 16:00:00
2019-01-14,Sistema,Sistema,17,300.81968,2019-01-14 17:00:00
2019-01-14,Sistema,Sistema,18,300.81968,2019-01-14 18:00:00
2019-01-14,Sistema,Sistema,19,311.71968,2019-01-14 19:00:00
2019-01-14,Sistema,Sistema,20,300.81968,2019-01-14 20:00:00
2019-01-14,Sistema,Sistema,21,300.81968,2019-01-14 21:00:00
2019-01-14,Sistema,Sistema,22,267.71968,2019-01-14 22:00:00
2019-01-14,Sistema,Sistema,23,261.16668,2019-01-14 23:00:00
2019-01-15,Sistema,Sistema,0,250.61305,2019-01-15 00:00:00
2019-01-15,Sistema,Sistema,1,250.91305,2019-01-15 01:00:00
2019-01-15,Sistema,Sistema,2,185.61305,2019-01-15 02:00:00
2019-01-15,Sistema,Sistema,3,185.61305,2019-01-15 03:00:00
2019-01-15,Sistema,Sistema,4,192.22505,2019-01-15 04:00:00
2019-01-15,Sistema,Sistema,5,250.61305,2019-01-15 05:00:00
2019-01-15,Sistema,Sistema,6,250.61305,2019-01-15 06:00:00
2019-01-15,Sistema,Sistema,7,250.91305,2019-01-15 07:00:00
2019-01-15,Sistema,Sistema,8,250.91305,2019-01-15 08:00:00
2019-01-15,Sistema,Sistema,9,255.99205,2019-01-15 09:00:00
2019-01-15,Sistema,Sistema,10,271.26805,2019-01-15 10:00:00
2019-01-15,Sistema,Sistema,11,270.65605,2019-01-15 11:00:00
2019-01-15,Sistema,Sistema,12,270.65605,2019-01-15 12:00:00
2019-01-15,Sistema,Sistema,13,270.65605,2019-01-15 13:00:00
2019-01-15,Sistema,Sistema,14,271.26805,2019-01-15 14:00:00
2019-01-15,Sistema,Sistema,15,271.26805,2019-01-15 15:00:00
2019-01-15,Sistema,Sistema,16,270.65605,2019-01-15 16:00:00
2019-01-15,Sistema,Sistema,17,250.91305,2019-01-15 17:00:00
2019-01-15,Sistema,Sistema,18,270.65605,2019-01-15 18:00:00
2019-01-15,Sistema,Sistema,19,271.26805,2019-01-15 19:00:00
2019-01-15,Sistema,Sistema,20,270.65605,2019-01-15 20:00:00
2019-01-15,Sistema,Sistema,21,270.65605,2019-01-15 21:00:00
2019-01-15,Sistema,Sistema,22,250.91305,2019-01-15 22:00:00
2019-01-15,Sistema,Sistema,23,250.91305,2019-01-15 23:00:00
2019-01-16,Sistema,Sistema,0,150.9497,2019-01-16 00:00:00
2019-01-16,Sistema,Sistema,1,150.9497,2019-01-16 01:00:00
2019-01-16,Sistema,Sistema,2,150.9497,2019-01-16 02:00:00
2019-01-16,Sistema,Sistema,3,150.9497,2019-01-16 03:00:00
2019-01-16,Sistema,Sistema,4,150.9497,2019-01-16 04:00:00
2019-01-16,Sistema,Sistema,5,150.9497,2019-01-16 05:00:00
2019-01-16,Sistema,Sistema,6,167.6357,2019-01-16 06:00:00
2019-01-16,Sistema,Sistema,7,240.9497,2019-01-16 07:00:00
2019-01-16,Sistema,Sistema,8,248.1807,2019-01-16 08:00:00
2019-01-16,Sistema,Sistema,9,248.1807,2019-01-16 09:00:00
2019-01-16,Sistema,Sistema,10,248.1807,2019-01-16 10:00:00
2019-01-16,Sistema,Sistema,11,248.1807,2019-01-16 11:00:00
2019-01-16,Sistema,Sistema,12,248.1807,2019-01-16 12:00:00
2019-01-16,Sistema,Sistema,13,248.1807,2019-01-16 13:00:00
2019-01-16,Sistema,Sistema,14,250.8497,2019-01-16 14:00:00
